packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
419,24384,419,41.9,2438.4,58.19570405727924,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,1142,2,0.2,114.2,571.0,1,1,1.0,0.0,0.0,0.0,normal
242,1341713,242,24.2,134171.3,5544.268595041322,1,5,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
3,1240,3,0.3,124.0,413.3333333333333,1,1,1.0,0.0,0.0,0.0,normal
13,4222,13,1.3,422.2,324.7692307692308,1,4,1.0,0.0,0.0,0.0,normal
4,1024,4,0.4,102.4,256.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
9,4302,9,0.9,430.2,478.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,2,1,1.0,0.0,0.0,0.0,normal
9,2733,9,0.9,273.3,303.6666666666667,1,1,1.0,0.0,0.0,0.0,normal
31,5489,31,3.1,548.9,177.06451612903226,1,8,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
1,80,1,0.1,8.0,80.0,1,1,1.0,0.0,0.0,0.0,normal
832,47460,832,83.2,4746.0,57.04326923076923,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
6,2015,6,0.6,201.5,335.8333333333333,1,1,1.0,0.0,0.0,0.0,normal
433,2572061,433,43.3,257206.1,5940.094688221709,2,7,0.9976905311778291,0.0023094688221709007,0.0,0.0,normal
1,489,1,0.1,48.9,489.0,1,1,0.0,1.0,0.0,0.0,normal
5,1599,5,0.5,159.9,319.8,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
